,S,N,d,J',H'(loge),1-Lambda'
M10,31,184970300.8,1.57598569,0.865935258,2.973610596,0.926488553
M12,33,160010654.8,1.693950657,0.873857904,3.05545077,0.934809307
M14,12,33152029.04,0.635228093,0.915234404,2.274272056,0.875323316
M15,7,75621833.07,0.330737857,0.664004224,1.292092558,0.584262937
M16,30,102471312.3,1.572233835,0.906930465,3.084649524,0.937047461
M17,13,66737111.08,0.666064554,0.89391594,2.292849116,0.878110973
M18,23,69285577.98,1.218583577,0.900771733,2.82436456,0.919380679
M19,72,1152432340,3.402804768,0.676269617,2.892179359,0.800507611
M2,42,196237482.1,2.147177369,0.883265148,3.301353308,0.928814428
M20,10,40967818.74,0.51345546,0.821574714,1.891745689,0.803081798
M21,28,120182212.7,1.451260264,0.862941822,2.875498632,0.91519001
M23,57,620199513.7,2.766039701,0.869444168,3.515207347,0.95237112
M24,64,509996560.8,3.142158031,0.882811783,3.671510991,0.9611325
M25,21,89603771.18,1.092245127,0.856095092,2.606400716,0.891429217
M26,24,278889217.1,1.182742743,0.599904561,1.906528989,0.732391714
M27,26,238718690.2,1.295954791,0.614579858,2.002360509,0.690156387
M28,42,536976348,2.039652374,0.645039557,2.410944753,0.778937134
M29,73,1703736070,3.387264645,0.616653448,2.645726607,0.828448342
M3,14,55275057.17,0.729196897,0.860003303,2.269598021,0.852447596
M30,40,192648446.4,2.0444133,0.879467154,3.244248317,0.945121527
M31,56,383555605.1,2.782697367,0.843684784,3.396127973,0.932773
M33,42,363853057.1,2.079923796,0.842710009,3.149771598,0.931960845
M35,32,200162508.1,1.621793546,0.860405093,2.98193682,0.917823154
M36,82,1679733215,3.813218068,0.826282346,3.641194318,0.954619827
M37,35,433944914.5,1.709536808,0.583860598,2.075827646,0.692858563
M38,38,169338814.8,1.952773277,0.863307633,3.140355898,0.9272086
M39,48,303432277.4,2.406471585,0.88260679,3.4167483,0.950068484
M4,13,96015416.5,0.652882883,0.732537164,1.878920727,0.771109027
M40,53,1232203145,2.484226407,0.712635562,2.82937121,0.90352248
M41,40,479739626.6,1.951097095,0.670839796,2.474647142,0.785904305
M43,25,159109833.4,1.270842795,0.712363384,2.293009276,0.76550063
M44,26,108875451,1.350934012,0.89831236,2.926788391,0.932582883
M45,61,1021419479,2.892338604,0.795484318,3.270135692,0.931481176
M46,72,1559012582,3.354227415,0.807065447,3.451549452,0.939920129
M47,12,62972504.45,0.612533252,0.818615196,2.034182343,0.83557579
M48,45,387145096.5,2.225109233,0.839601331,3.196078894,0.934272245
M5,27,165105458.7,1.374055042,0.701513192,2.312073039,0.81640334
M6,33,199217901.5,1.674523867,0.878633853,3.072149912,0.937739505
M7,15,54831829.01,0.785643756,0.909366803,2.462610955,0.897212324
M8,9,27959942.31,0.466573415,0.906339431,1.991431274,0.83884556
M9,41,249591987.9,2.068750999,0.798053611,2.963629596,0.884145303
P10,20,149366856.8,1.009461525,0.690391314,2.068227542,0.75472021
P12,43,252818880.4,2.170746371,0.856649221,3.22202915,0.928093698
P14,10,32530103.79,0.520301094,0.903033548,2.079311586,0.855661154
P15,21,167216834.3,1.056256097,0.81594171,2.484152844,0.879335771
P16,87,1351124131,4.090523714,0.826554415,3.691316072,0.943471457
P17,17,66420854.96,0.888320283,0.907943183,2.572396742,0.905065357
P18,16,53339863.32,0.843066323,0.947717062,2.627629638,0.918841915
P19,44,330067606.1,2.192221299,0.87059177,3.294484352,0.943348168
P2,8,32554200.61,0.404661306,0.871131785,1.811467623,0.798171346
P20,11,29939330.21,0.580899437,0.93442379,2.240650388,0.881436253
P21,38,353885528.7,1.879653025,0.79184843,2.880416888,0.911575651
P23,79,1166998741,3.736043522,0.889542985,3.886811687,0.970221745
P24,44,305472870,2.200910186,0.784660261,2.969303226,0.876593506
P25,18,65173910.96,0.944834461,0.921714921,2.664098776,0.916141605
P26,17,109970040.8,0.864130656,0.707158225,2.00353012,0.754433696
P27,31,265227039.9,1.546702945,0.728459028,2.501518981,0.809872015
P28,28,258284730.6,1.393938824,0.684191877,2.279867258,0.75887791
P29,57,955813725.4,2.708182642,0.667715741,2.699608974,0.812820716
P3,20,79957849.11,1.04412757,0.901505334,2.700668624,0.908331195
P30,35,193832248.2,1.781736854,0.794269672,2.823905138,0.890771816
P31,44,207015331.8,2.24562976,0.859337633,3.251896561,0.921871193
P33,68,788329975.4,3.270617644,0.834755089,3.522255531,0.942726863
P35,38,178615583.6,1.947291915,0.843437151,3.068075308,0.917218239
P36,33,153269073.8,1.69781939,0.863306161,3.018556521,0.920392558
P37,28,506815211.7,1.34705957,0.537065458,1.789611941,0.631788721
P38,43,194120524.8,2.200797657,0.866892159,3.26055489,0.932901354
P39,90,1988433873,4.156816963,0.733166955,3.299111756,0.899321721
P4,14,94318899.65,0.707976471,0.721178591,1.903231647,0.756033036
P40,22,335267076.4,1.069767266,0.562708526,1.739355942,0.681647762
P41,25,213680500.9,1.251303932,0.706579292,2.274391001,0.77834851
P43,30,433330240.9,1.458238268,0.463662359,1.5770072,0.529819127
P44,27,125962531.6,1.393990129,0.895497878,2.951414918,0.929882059
P45,79,1963195347,3.645227868,0.786625674,3.437119863,0.939654742
P46,93,1559339939,4.346279737,0.863585372,3.914286621,0.970295124
P47,36,206286490.3,1.828174908,0.832176887,2.982121636,0.905884614
P48,46,719389326,2.206540719,0.541332702,2.072568794,0.682931631
P5,20,132834810.8,1.015791989,0.759700946,2.275860642,0.829414504
P6,30,123539365.4,1.556456119,0.874515343,2.974399294,0.926144655
P7,17,86237099.45,0.875627461,0.867533254,2.45790679,0.876805246
P8,10,23705496.97,0.529997333,0.956523307,2.202476307,0.879469383
P9,40,192643096.8,2.044416276,0.819356483,3.022507294,0.887331356
