0,56672.99576,71073.23015,289723.6408,601432.7941,616357.2506,714089.4783,764340.101,860323.347,918711.5774,946643.8973,948247.8439,966111.5426
56672.99576,0,15268.21095,244300.0382,579175.3754,593460.5631,690348.4575,740743.4412,841748.565,901477.6304,930006.7577,931986.1572,949915.9089
71073.23015,15268.21095,0,229889.9929,568991.045,583118.3791,679737.7151,730130.5799,832192.5545,892195.0482,920846.7376,922911.195,940847.8209
289723.6408,244300.0382,229889.9929,0,383893.6659,395135.5582,485014.9869,534268.2537,648072.6565,710580.6562,740358.7385,743498.8333,761241.064
601432.7941,579175.3754,568991.045,383893.6659,0,16361.26326,113513.1214,163271.1079,265543.1818,327421.6428,357000.1733,359929.7773,377747.3781
616357.2506,593460.5631,583118.3791,395135.5582,16361.26326,0,97967.38785,148023.5152,253213.5942,315503.455,345239.0983,348364.8225,366106.5925
714089.4783,690348.4575,679737.7151,485014.9869,113513.1214,97967.38785,0,50395.61732,167163.4433,230119.4876,260132.6618,264190.9625,281286.27
764340.101,740743.4412,730130.5799,534268.2537,163271.1079,148023.5152,50395.61732,0,124697.1827,186472.6039,216192.5852,220793.7944,237257.2415
860323.347,841748.565,832192.5545,648072.6565,265543.1818,253213.5942,167163.4433,124697.1827,0,63029.77534,93056.26,97027.87576,114194.9898
918711.5774,901477.6304,892195.0482,710580.6562,327421.6428,315503.455,230119.4876,186472.6039,63029.77534,0,30027.24875,34322.09885,51173.17667
946643.8973,930006.7577,920846.7376,740358.7385,357000.1733,345239.0983,260132.6618,216192.5852,93056.26,30027.24875,0,6744.450591,21154.18525
948247.8439,931986.1572,922911.195,743498.8333,359929.7773,348364.8225,264190.9625,220793.7944,97027.87576,34322.09885,6744.450591,0,17941.23147
966111.5426,949915.9089,940847.8209,761241.064,377747.3781,366106.5925,281286.27,237257.2415,114194.9898,51173.17667,21154.18525,17941.23147,0
