XCoord,YCoord,Site,Pop,Clim_12,Clim_15,Clim_16,Clim_1,Clim_3,Clim_4,Clim_8
640484,8250571,Boanamary,1,1492,123,1072,270,71,1141,277
583839.1739,8248784.348,Mahavavy,2,1372,126,998,268,70,1230,275
569852.1905,8242662.048,Marambitsy,3,1338,127,986,268,69,1307,276
403262.3333,8084241,Ankazobe,4,1149,126,843,262,66,1704,278
397539,7700390,Kirindy Mite_Marofihitsy,5,717,133,546,253,62,2528,279
385316.6667,7689513.167,Kirindy Mite,6,692,133,527,252,62,2529,279
338225,7603606.333,Mangoky,7,500,131,386,246,62,2555,274
320540,7556415.667,Andavadoaka,8,468,122,347,245,62,2550,275
358703.5,7437702,Ifaty,9,368,93,229,243,63,2665,274
362863.6667,7374809.667,Anakao,10,386,89,241,244,62,2557,274
365105.2,7344866.2,Besambay,11,406,90,251,244,61,2643,276
370918.1212,7341446.03,Tsimanampetsotsa,12,414,90,257,245,62,2653,276
367452.6667,7323842.667,Andranomasy,13,413,88,253,244,61,2664,275
