Groups 1  &  2,,,,,
Average dissimilarity = 69.64,,,,,
,,,,,
, Group 1, Group 2,       ,        ,     
Species,Av.Abund,Av.Abund,Diss/SD,Contrib%,Cum.%
15.45769231,0.74,2.67,2.1,4.32,4.32
16.3974359,0.09,1.6,1.64,3.47,7.79
26.78859155,2.19,1.92,1.21,2.97,10.76
19.52538462,1.42,0.36,1.4,2.82,13.59
21.405,1.26,0.02,1.92,2.72,16.31
21.34820513,1.17,0.17,1.55,2.4,18.71
19.72268293,3.08,2.17,1.5,2.4,21.11
30.80365385,1.23,0.57,1.35,2.13,23.23
38.5183871,0.5,0.81,0.94,2.07,25.3
17.40942623,0.73,1.03,1.16,1.91,27.21
20.51086207,0.33,1.1,1.58,1.85,29.06
33.63655172,0.53,0.65,0.9,1.82,30.88
21.57529412,0.29,0.93,1.32,1.73,32.62
15.74219178,0.71,1.03,1.14,1.7,34.31
19.66514286,0.06,0.81,1.37,1.62,35.93
8.904761905,0.47,0.39,0.71,1.55,37.48
13.79738095,0.51,0.53,0.92,1.53,39.01
15.538,0.28,0.59,0.83,1.46,40.47
22.76894737,0.72,0.13,1.26,1.45,41.92
9.755306122,0.6,0.6,1.11,1.44,43.37
37.56363636,0.35,0.55,0.8,1.44,44.81
21.12214286,0.46,0.58,1.14,1.37,46.18
17.62533333,0.16,0.6,1.07,1.33,47.51
21.49942857,0.51,0.36,0.96,1.31,48.82
14.6988,0.38,0.66,1.29,1.22,50.04
19.6197619,0.56,0.37,1.11,1.19,51.23
20.361875,0.48,0.28,0.74,1.18,52.42
20.8027027,0.13,0.59,1.12,1.16,53.57
13.7290678,0.55,0.53,1.21,1.14,54.72
19.20891892,0.21,0.54,1.15,1.1,55.82
16.2865,0.14,0.57,1.3,1.1,56.91
20.25794118,0.33,0.31,0.75,1.05,57.96
37.0488,0.27,0.34,0.78,0.99,58.95
8.47375,0.27,0.27,0.62,0.92,59.87
11.04931818,0.31,0.18,0.64,0.9,60.77
8.061111111,0.18,0.26,0.45,0.89,61.67
15.62272727,0.26,0.25,0.53,0.86,62.52
22.55076923,0.13,0.33,0.89,0.76,63.28
9.693125,0.26,0.21,0.76,0.76,64.04
19.86137931,0.28,0.23,0.91,0.74,64.78
22.62611111,0.21,0.17,0.57,0.7,65.48
18.22411765,0.27,0.24,1.03,0.7,66.18
36.91333333,0.16,0.2,0.52,0.7,66.88
13.26172414,0.16,0.27,0.86,0.67,67.55
10.471875,0.15,0.22,0.59,0.66,68.21
17.325,0.23,0.17,0.66,0.65,68.86
17.95647059,0,0.31,0.75,0.62,69.48
36.111,0.13,0.19,0.48,0.61,70.09
8.516153846,0.11,0.19,0.46,0.58,70.67
12.66740741,0.12,0.25,0.87,0.58,71.25
15.20823529,0.01,0.28,0.7,0.57,71.83
19.05166667,0.09,0.23,0.68,0.56,72.38
8.545666667,0.13,0.13,0.57,0.54,72.92
18.71884615,0.19,0.15,0.87,0.53,73.45
24.66947368,0.19,0.13,0.66,0.52,73.98
13.86416667,0.13,0.18,0.71,0.52,74.5
27.68736842,0.09,0.21,0.64,0.52,75.02
37.07363636,0.11,0.16,0.46,0.5,75.52
23.68416667,0.14,0.11,0.46,0.5,76.02
20.84133333,0.01,0.24,0.62,0.49,76.51
16.71571429,0.08,0.19,0.58,0.49,77
19.97269231,0.16,0.17,0.88,0.49,77.5
11.84727273,0.03,0.21,0.46,0.49,77.99
34.26230769,0.1,0.17,0.54,0.48,78.46
18.295,0.12,0.16,0.44,0.47,78.94
14.05666667,0.14,0.17,0.77,0.47,79.4
21.09,0.21,0.03,0.48,0.46,79.86
38.54714286,0.07,0.16,0.4,0.45,80.32
37.00818182,0.15,0.07,0.46,0.45,80.77
20.568,0.02,0.22,0.76,0.44,81.21
21.21238095,0.18,0.09,0.77,0.44,81.65
24.26,0.17,0.1,0.85,0.43,82.08
20.45466667,0.17,0.04,0.54,0.37,82.45
13.18133333,0.13,0.07,0.56,0.36,82.81
13.12375,0.13,0.07,0.6,0.36,83.17
29.02866667,0.13,0.08,0.56,0.36,83.53
12.39733333,0.11,0.11,0.59,0.36,83.89
36.94125,0.09,0.08,0.35,0.35,84.23
22.7275,0.07,0.13,0.54,0.34,84.58
16.97470588,0.02,0.17,0.66,0.34,84.92
11.81888889,0.06,0.11,0.43,0.33,85.25
23.51777778,0.14,0.04,0.33,0.33,85.58
15.375625,0,0.17,0.65,0.33,85.9
28.00727273,0.08,0.09,0.48,0.31,86.22
22.98714286,0.1,0.08,0.63,0.29,86.51
23.07416667,0.12,0.06,0.53,0.29,86.8
15.11,0.02,0.14,0.6,0.28,87.08
17.81857143,0.02,0.11,0.4,0.28,87.36
12.72882353,0.05,0.11,0.6,0.28,87.64
18.844,0.13,0,0.35,0.26,87.9
23.2525,0.11,0.03,0.28,0.26,88.16
8.23,0.04,0.08,0.31,0.25,88.41
22.59444444,0.03,0.11,0.45,0.25,88.66
11.23666667,0.08,0.04,0.24,0.25,88.91
10.75428571,0.12,0.03,0.41,0.25,89.16
33.664,0.05,0.08,0.31,0.25,89.41
14.58888889,0.06,0.05,0.39,0.23,89.64
10.22,0.07,0.04,0.29,0.23,89.87
23.216,0.03,0.09,0.33,0.22,90.09
